Id,DISTRICT,STATE-todel,ASSAULT ON WOMEN,DACOITY,DOWRY DEATHS,KIDNAPPING AND ABDUCTION,MAJOR_CRIMES_TOTAL,MURDER,RAPE,RIOTS,ROBBERY,THEFT,total_crime,YEAR
784,CRIME BRANCH,Delhi,0,0,0,,,1,2,0,0,4,1661,2015
785,EAST,Delhi,588,6,6,,,37,239,13,818,12295,2444,2015
786,EOW,Delhi,6,0,0,,,0,0,0,0,0,2430,2015
787,I.G.I. AIRPORT,Delhi,11,0,0,,,0,1,0,0,143,3000,2015
788,METRO,Delhi,15,0,0,,,1,4,0,8,3123,4326,2015
789,NEW DELHI,Delhi,48,1,0,,,7,22,7,112,1338,2016,2015
790,NORTH,Delhi,173,11,2,,,26,48,7,507,5512,2359,2015
791,NORTH EAST,Delhi,486,1,13,,,69,244,20,1301,9585,1948,2015
792,NORTH WEST,Delhi,400,15,14,,,47,172,8,849,8895,517,2015
793,OUTER,Delhi,536,9,28,,,108,315,15,992,11808,1483,2015
794,RAILWAY,Delhi,13,3,0,,,10,15,2,102,2768,2381,2015
795,SOUTH,Delhi,1183,3,10,,,34,323,11,658,12787,6416,2015
796,SOUTH WEST,Delhi,559,9,14,,,52,240,11,375,10486,933,2015
797,SOUTH-WEST,Delhi,606,10,13,,,70,217,20,571,6076,3475,2015
798,spl CELL,Delhi,1,0,0,,,0,0,0,0,0,4946,2015
799,SPUWAC,Delhi,0,0,0,,,0,0,0,0,0,1457,2015
800,VIGILANCE,Delhi,0,0,0,,,0,0,0,0,0,1071,2015
801,WEST,Delhi,486,3,18,,,72,272,7,732,13797,1835,2015
802,CENTRAL,Delhi,233,,,,,31,104,2,208,6768,5984,2016
803,CRIME BRANCH,Delhi,2,,,,,2,1,0,0,0,9737,2016
804,EAST,Delhi,380,,,,,34,221,4,658,13901,1817,2016
805,EOW,Delhi,0,,,,,0,0,0,0,0,2083,2016
806,I.G.I. AIRPORT,Delhi,11,,,,,0,0,0,2,234,2298,2016
807,METRO,Delhi,15,,,,,1,1,0,2,9702,2523,2016
808,NEW DELHI,Delhi,57,,,,,7,23,11,63,1830,4121,2016
809,NORTH,Delhi,171,,,,,26,65,3,233,7280,3725,2016
810,NORTH EAST,Delhi,333,,,,,51,223,15,829,11615,2139,2016
811,NORTH WEST,Delhi,371,,,,,46,190,17,597,12135,3458,2016
812,OUTER,Delhi,530,,,,,101,372,5,852,15033,2796,2016
813,RAILWAY,Delhi,4,,,,,6,7,0,60,3837,697,2016
814,SOUTH,Delhi,708,,,,,43,246,7,325,13965,1504,2016
815,SOUTH WEST,Delhi,510,,,,,58,275,5,265,10812,2711,2016
816,SOUTH-WEST,Delhi,389,,,,,58,171,5,225,6872,6936,2016
817,spl CELL,Delhi,1,,,,,0,0,0,0,0,1756,2016
818,SPUWAC,Delhi,0,,,,,0,0,0,0,0,3676,2016
819,VIGILANCE,Delhi,0,,,,,0,0,0,0,0,5243,2016
820,WEST,Delhi,450,,,,,64,256,5,442,16944,1635,2016
