DISTRICT,Sheet,STATE-todel,ASSAULT ON WOMEN,DACOITY,DOWRY DEATHS,KIDNAPPING AND ABDUCTION,MAJOR_CRIMES_TOTAL,MURDER,RAPE,RIOTS,ROBBERY,THEFT,total_crime,YEAR
CENTRAL,2001-2012,Delhi,25,0,2,126,1553,25,20,5,35,1350,2828,2010
CRIME BRANCH,2001-2012,Delhi,0,0,0,1,9,0,0,0,0,8,61,2010
DELHI UT TOTAL,2001-2012,Delhi,601,32,143,3208,28165,565,507,53,599,23088,51292,2010
EAST,2001-2012,Delhi,83,7,12,357,4013,57,47,14,81,3443,6723,2010
EOW,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,150,2010
GRP(RLY),2001-2012,Delhi,3,2,0,23,688,12,2,1,9,647,816,2010
IGI AIRPORT,2001-2012,Delhi,7,0,0,13,105,0,0,0,0,85,703,2010
NEW DELHI,2001-2012,Delhi,20,1,0,29,653,6,16,3,19,579,1452,2010
NORTH,2001-2012,Delhi,23,0,8,161,1396,30,7,1,24,1166,2889,2010
NORTH-EAST,2001-2012,Delhi,68,5,24,458,3219,68,51,6,57,2544,5062,2010
NORTH-WEST,2001-2012,Delhi,62,8,11,260,2856,60,50,2,178,2411,5016,2010
OUTER,2001-2012,Delhi,64,4,21,457,2821,98,49,3,39,2129,5495,2010
SOUTH,2001-2012,Delhi,66,4,9,240,2863,35,59,0,47,2454,5308,2010
SOUTH-EAST,2001-2012,Delhi,92,0,13,369,2957,48,80,10,32,2345,5606,2010
SOUTH-WEST,2001-2012,Delhi,28,1,24,363,1878,63,54,7,30,1339,3503,2010
STF,2001-2012,Delhi,0,0,0,1,1,0,0,0,0,0,18,2010
WEST,2001-2012,Delhi,60,0,19,350,3153,63,72,1,48,2588,5475,2010
CAW,2001-2012,Delhi,1,0,0,0,2,0,1,0,0,0,130,2011
CENTRAL,2001-2012,Delhi,32,0,3,154,1540,25,16,2,26,1308,2451,2011
CRIME BRANCH,2001-2012,Delhi,0,0,0,0,5,1,1,0,0,3,121,2011
DELHI UT TOTAL,2001-2012,Delhi,657,33,142,3767,28630,543,572,50,562,22899,53353,2011
EAST,2001-2012,Delhi,78,7,14,393,4094,54,55,10,67,3490,7004,2011
EOW,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,149,2011
GRP(RLY),2001-2012,Delhi,7,3,1,25,793,10,4,0,21,746,972,2011
IGI AIRPORT,2001-2012,Delhi,8,0,0,3,80,1,0,1,0,67,565,2011
NEW DELHI,2001-2012,Delhi,17,1,1,33,480,6,2,3,12,418,1181,2011
NORTH,2001-2012,Delhi,15,1,4,177,1422,38,11,1,38,1176,2841,2011
NORTH-EAST,2001-2012,Delhi,88,5,21,530,3479,66,69,3,55,2702,5734,2011
NORTH-WEST,2001-2012,Delhi,48,4,10,331,2767,51,58,1,89,2268,4889,2011
OUTER,2001-2012,Delhi,65,4,34,577,3057,84,73,4,74,2220,6118,2011
SOUTH,2001-2012,Delhi,50,1,11,222,2634,30,65,4,31,2252,5141,2011
SOUTH-EAST,2001-2012,Delhi,127,4,19,478,3203,61,75,6,54,2437,6377,2011
SOUTH-WEST,2001-2012,Delhi,56,0,11,391,1822,51,69,10,52,1234,3783,2011
STF,2001-2012,Delhi,0,0,0,0,1,1,0,0,0,0,14,2011
WEST,2001-2012,Delhi,65,3,13,453,3251,64,73,5,43,2578,5883,2011
CAW,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,178,2012
CENTRAL,2001-2012,Delhi,47,2,4,180,1706,35,31,6,47,1403,2973,2012
CRIME BRANCH,2001-2012,Delhi,0,0,0,3,6,1,1,0,0,1,90,2012
DELHI UT TOTAL,2001-2012,Delhi,727,28,134,3970,28169,521,706,79,608,22032,54287,2012
EAST,2001-2012,Delhi,96,4,7,503,4016,48,90,14,57,3258,7423,2012
EOW,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,124,2012
GRP(RLY),2001-2012,Delhi,12,0,1,27,691,13,4,4,12,630,837,2012
IGI AIRPORT,2001-2012,Delhi,6,0,0,1,76,1,0,0,1,68,382,2012
NEW DELHI,2001-2012,Delhi,29,0,0,28,457,9,5,12,9,374,1057,2012
NORTH,2001-2012,Delhi,29,0,6,153,1257,25,14,5,45,1025,2700,2012
NORTH-EAST,2001-2012,Delhi,69,4,25,510,3352,49,78,5,58,2616,5903,2012
NORTH-WEST,2001-2012,Delhi,19,6,12,357,2413,60,64,0,65,1901,4542,2012
OUTER,2001-2012,Delhi,79,6,15,572,3051,96,67,7,91,2215,6344,2012
SOUTH,2001-2012,Delhi,59,2,17,245,2559,39,70,3,52,2126,5045,2012
SOUTH-EAST,2001-2012,Delhi,160,2,11,538,3775,46,116,12,72,2892,7040,2012
SOUTH-WEST,2001-2012,Delhi,69,0,18,399,1797,47,87,6,47,1171,4085,2012
STF,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,6,2012
WEST,2001-2012,Delhi,53,2,18,454,3013,52,79,5,52,2352,5558,2012
CAW,2013,Delhi,1,0,0,0,1,0,0,0,0,0,203,2013
CENTRAL,2013,Delhi,174,1,2,220,2419,20,71,4,55,1928,4562,2013
CRIME BRANCH,2013,Delhi,0,0,0,1,8,2,4,0,0,1,80,2013
EAST,2013,Delhi,364,5,11,737,5632,51,210,7,134,4252,10388,2013
EOW,2013,Delhi,0,0,0,0,0,0,0,0,0,0,163,2013
GRP(RLY),2013,Delhi,11,0,0,19,602,13,4,2,20,553,760,2013
IGI AIRPORT,2013,Delhi,9,0,0,1,89,0,0,0,2,79,351,2013
METRO RAIL,2013,Delhi,16,0,1,8,903,1,0,2,2,875,962,2013
NEW DELHI,2013,Delhi,66,0,1,74,659,7,19,19,14,473,1458,2013
NORTH,2013,Delhi,164,2,9,266,2075,29,53,12,87,1542,4081,2013
NORTH-EAST,2013,Delhi,333,5,27,923,5250,69,183,12,223,3703,9041,2013
NORTH-WEST,2013,Delhi,301,10,17,597,3661,47,143,8,194,2548,6564,2013
OUTER,2013,Delhi,332,6,14,923,4922,88,178,4,134,3383,9579,2013
SOUTH,2013,Delhi,539,0,10,539,4698,23,163,4,68,3420,8593,2013
SOUTH-EAST,2013,Delhi,386,2,16,719,4576,60,230,10,132,3155,8608,2013
SOUTH-WEST,2013,Delhi,419,1,14,556,2321,52,194,9,116,1077,5963,2013
STF,2013,Delhi,0,0,0,0,0,0,0,0,0,0,15,2013
WEST,2013,Delhi,400,1,22,711,4527,55,184,20,64,3135,8813,2013
CENTRAL,2014,Delhi,212,,7,,,30,91,6,,4124,4407,2014
CRIME BRANCH,2014,Delhi,1,,0,,,0,1,0,,0,3792,2014
EAST,2014,Delhi,446,,15,,,61,230,24,,9437,106830,2014
EOW,2014,Delhi,2,,0,,,0,0,0,,0,363,2014
I.G.I. AIRPORT,2014,Delhi,12,,0,,,1,0,0,,157,825,2014
METRO,2014,Delhi,28,,0,,,0,1,1,,2198,9,2014
NEW DELHI,2014,Delhi,56,,2,,,6,20,22,,1252,338,2014
NORTH,2014,Delhi,180,,6,,,31,60,14,,4309,510,2014
NORTH EAST,2014,Delhi,492,,27,,,84,237,25,,8185,725,2014
NORTH WEST,2014,Delhi,404,,14,,,48,165,8,,7341,678,2014
OUTER,2014,Delhi,428,,22,,,87,259,13,,10031,401,2014
RAILWAY,2014,Delhi,19,,0,,,10,1,3,,1455,1650,2014
SOUTH,2014,Delhi,595,,6,,,40,280,16,,8670,5499,2014
SOUTH WEST,2014,Delhi,469,,24,,,67,266,20,,7557,9518,2014
SOUTH-WEST,2014,Delhi,494,,17,,,66,234,5,,4632,8793,2014
spl CELL,2014,Delhi,0,,0,,,0,0,0,,1,9909,2014
SPUWAC,2014,Delhi,0,,0,,,0,0,0,,0,1323,2014
VIGILANCE,2014,Delhi,0,,0,,,0,0,0,,0,1522,2014
WEST,2014,Delhi,484,,13,,,55,251,3,,9404,2826,2014
CENTRAL,2015,Delhi,256,4,4,,,36,85,9,382,5815,1717,2015
CRIME BRANCH,2015,Delhi,0,0,0,,,1,2,0,0,4,1661,2015
EAST,2015,Delhi,588,6,6,,,37,239,13,818,12295,2444,2015
EOW,2015,Delhi,6,0,0,,,0,0,0,0,0,2430,2015
I.G.I. AIRPORT,2015,Delhi,11,0,0,,,0,1,0,0,143,3000,2015
METRO,2015,Delhi,15,0,0,,,1,4,0,8,3123,4326,2015
NEW DELHI,2015,Delhi,48,1,0,,,7,22,7,112,1338,2016,2015
NORTH,2015,Delhi,173,11,2,,,26,48,7,507,5512,2359,2015
NORTH EAST,2015,Delhi,486,1,13,,,69,244,20,1301,9585,1948,2015
NORTH WEST,2015,Delhi,400,15,14,,,47,172,8,849,8895,517,2015
OUTER,2015,Delhi,536,9,28,,,108,315,15,992,11808,1483,2015
RAILWAY,2015,Delhi,13,3,0,,,10,15,2,102,2768,2381,2015
SOUTH,2015,Delhi,1183,3,10,,,34,323,11,658,12787,6416,2015
SOUTH WEST,2015,Delhi,559,9,14,,,52,240,11,375,10486,933,2015
SOUTH-WEST,2015,Delhi,606,10,13,,,70,217,20,571,6076,3475,2015
spl CELL,2015,Delhi,1,0,0,,,0,0,0,0,0,4946,2015
SPUWAC,2015,Delhi,0,0,0,,,0,0,0,0,0,1457,2015
VIGILANCE,2015,Delhi,0,0,0,,,0,0,0,0,0,1071,2015
WEST,2015,Delhi,486,3,18,,,72,272,7,732,13797,1835,2015
CENTRAL,2016,Delhi,233,,,,,31,104,2,208,6768,5984,2016
CRIME BRANCH,2016,Delhi,2,,,,,2,1,0,0,0,9737,2016
EAST,2016,Delhi,380,,,,,34,221,4,658,13901,1817,2016
EOW,2016,Delhi,0,,,,,0,0,0,0,0,2083,2016
I.G.I. AIRPORT,2016,Delhi,11,,,,,0,0,0,2,234,2298,2016
METRO,2016,Delhi,15,,,,,1,1,0,2,9702,2523,2016
NEW DELHI,2016,Delhi,57,,,,,7,23,11,63,1830,4121,2016
NORTH,2016,Delhi,171,,,,,26,65,3,233,7280,3725,2016
NORTH EAST,2016,Delhi,333,,,,,51,223,15,829,11615,2139,2016
NORTH WEST,2016,Delhi,371,,,,,46,190,17,597,12135,3458,2016
OUTER,2016,Delhi,530,,,,,101,372,5,852,15033,2796,2016
RAILWAY,2016,Delhi,4,,,,,6,7,0,60,3837,697,2016
SOUTH,2016,Delhi,708,,,,,43,246,7,325,13965,1504,2016
SOUTH WEST,2016,Delhi,510,,,,,58,275,5,265,10812,2711,2016
SOUTH-WEST,2016,Delhi,389,,,,,58,171,5,225,6872,6936,2016
spl CELL,2016,Delhi,1,,,,,0,0,0,0,0,1756,2016
SPUWAC,2016,Delhi,0,,,,,0,0,0,0,0,3676,2016
VIGILANCE,2016,Delhi,0,,,,,0,0,0,0,0,5243,2016
WEST,2016,Delhi,450,,,,,64,256,5,442,16944,1635,2016
